,artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity,sim
622,Vishal Mishra,5w0Xpt2YHT2Y3z3e4UUJP7,Kaise Hua,0.37,0.467,2,-6.973,1,0.0411,0.442,0.0,0.109,0.162,137.796,70,"['desi pop', 'modern bollywood']",71,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral,0.9119368673558901
717,Sonu Nigam,5CteVMD0U8C9WbAWvrNgkN,Chori Kiya Re Jiya,0.507,0.585,9,-5.367,1,0.0288,0.475,0.0,0.317,0.449,132.741,76,"['desi pop', 'filmi', 'modern bollywood']",57,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8966277700111503
683,Sonu Nigam,6aC88EtcanNc9PD5FJtDbP,Rab Rakha,0.373,0.832,10,-5.669,1,0.208,0.434,5.96e-06,0.0712,0.695,80.773,76,"['desi pop', 'filmi', 'modern bollywood']",57,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8943678933524974
718,Shaan,3s4mXUOIzkS2hnTVCgt23f,Tere Naina Maar Hi Daalenge,0.686,0.81,2,-4.755,1,0.0399,0.254,0.0,0.138,0.739,122.993,69,"['desi pop', 'filmi', 'modern bollywood']",44,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.894189114077773
278,Vishal Dadlani,0z9lOAVgQT5bysEKZ6Wwbk,"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)",0.807,0.914,7,-5.092,1,0.069,0.0411,0.00105,0.292,0.463,114.039,76,"['desi pop', 'filmi', 'modern bollywood']",58,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.894052612301198
719,Benny Dayal,1qtl3vB0uqciZ94g3S6TO7,Besharmi Ki Height,0.708,0.946,7,-4.519,1,0.0434,0.128,0.0,0.559,0.477,130.99,70,"['desi pop', 'filmi', 'modern bollywood']",59,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8938506488448072
725,Sonu Nigam,3wiKJ8i3Ixdrc3qxBFFbPM,Dupatta Tera Nau Rang Da,0.706,0.954,9,-5.112,1,0.046,0.0291,0.000246,0.2,0.714,134.97,76,"['desi pop', 'filmi', 'modern bollywood']",53,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8935428348586885
1726,Nakash Aziz,49bXxI5G1fTOuVRr56s5fr,Ratthaalu,0.824,0.935,7,-3.633,1,0.0974,0.248,0.0829,0.0969,0.937,138.989,67,"['desi pop', 'filmi', 'modern bollywood']",44,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8919787521148932
1356,Himesh Reshammiya,5pkaQ5pS44JGsA8chmUQzk,Rayini Maatram,0.605,0.653,1,-6.769,1,0.0433,0.108,1.8e-05,0.0759,0.182,95.103,67,"['desi pop', 'filmi', 'modern bollywood']",50,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.891923589833409
286,Sohail Sen,5q6eZbatNFuToQdA7FGhj5,"Ek Chumma (From ""Housefull 4"")",0.74,0.903,1,-4.022,1,0.0461,0.204,0.0,0.509,0.949,114.065,61,"['desi pop', 'filmi', 'modern bollywood']",45,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8907670567163968
282,Sohail Sen,59vbPXCgc6oxbSzMfVBLNb,Shaitan Ka Saala,0.84,0.667,7,-6.482,1,0.184,0.202,2.18e-05,0.355,0.197,100.01,61,"['desi pop', 'filmi', 'modern bollywood']",43,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8904753592495981
848,Tanishk Bagchi,5Tn2aBp45QypSmCpmhKtJN,Kalalo Kooda,0.724,0.596,5,-6.58,1,0.0289,0.651,0.0,0.0692,0.605,108.011,80,"['desi pop', 'modern bollywood']",67,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8886450951783096
1026,Shreya Ghoshal,37E9yqXwtuytSI3hoetgOw,Ithadena Ithadena,0.583,0.745,3,-6.568,1,0.0579,0.689,5.2e-06,0.0794,0.566,154.098,81,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8886411342725137
1039,Shreya Ghoshal,27TKZQyCcXqwNZIDBc92yT,Allasani Vaari,0.604,0.737,3,-6.635,1,0.0918,0.653,0.000519,0.0966,0.585,171.954,81,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8881957414734292
1417,Sonu Nigam,4ZjrZc9BCuCoCJUfOYB6t6,Endhuko,0.686,0.797,10,-6.476,1,0.0428,0.294,0.0,0.141,0.559,111.914,76,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8877900357579604
1208,Arijit Singh,4sfX9tnCzmCegYUdo3iRZW,Kanulanu Thaake,0.727,0.605,1,-7.008,1,0.0348,0.572,0.000411,0.117,0.7,95.014,89,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8875944495010777
1665,Vishal Dadlani,77sT0MNgUw3ZwBmHKeJ52r,Sainika,0.667,0.846,7,-6.381,1,0.0529,0.177,4.06e-06,0.171,0.525,114.038,76,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.887164591374054
1820,KK,5AXUh3B0DW6o28wM6JAGn6,Sportive Boys,0.786,0.829,7,-7.107,1,0.0666,0.355,1.94e-06,0.0831,0.683,105.04,76,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8870558867343574
284,Dhvani Bhanushali,0mJTAdmY8olbGQjopDYff3,Vaaste,0.444,0.479,5,-5.586,1,0.0436,0.454,0.0,0.095,0.315,89.892,70,"['desi pop', 'modern bollywood']",71,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8869814736434906
1409,Shreya Ghoshal,0qlDvJp3Gtw1F5XMeztjBD,Vachhe Vachhe,0.754,0.834,2,-6.713,1,0.0848,0.431,0.000631,0.332,0.853,108.047,81,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8869394970641319
1459,KK,0fKNw4Q7qetiGUernaxVaa,Devudey Dhigi,0.793,0.919,7,-5.894,1,0.121,0.2,0.0002,0.191,0.533,109.972,76,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8867823617156212
1849,KK,2CABBZk3tjcEoYnQU7YPXz,Cheli Soku,0.776,0.889,2,-6.547,1,0.0692,0.19,0.00245,0.0837,0.497,134.988,76,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8867648071889507
1724,Mohit Chauhan,1FJ9tc1IKwFFC9d3FO4PBF,Idhera,0.513,0.471,2,-6.872,1,0.023,0.0172,0.000361,0.617,0.283,85.009,75,"['desi pop', 'filmi', 'modern bollywood']",34,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8867205779112375
1357,Benny Dayal,0r31zvoK2G36RFfsJmvg5N,Now Or Never,0.624,0.895,10,-5.533,1,0.0862,0.051,0.00505,0.135,0.52,170.075,70,"['desi pop', 'filmi', 'modern bollywood']",7,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.886718214156515
1571,Nakash Aziz,1PEe83YBblY5Bm7NnAJLqE,AB Yevaro Nee Baby,0.73,0.768,7,-5.714,1,0.0553,0.0561,1.47e-05,0.13,0.439,102.044,67,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8851742130121559
1626,Sonu Nigam,5Bt32lxnHfrd70ZsmqnCCa,Raave Naa Chaliyaa,0.806,0.64,10,-8.665,1,0.054,0.198,0.0,0.0668,0.733,109.053,76,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8849549429747376
1519,Kunal Ganjawala,4Bti8wH1m2kdfwiZNb00x9,Jagadame,0.713,0.893,1,-5.259,1,0.0451,0.0502,0.0528,0.199,0.632,112.985,59,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8848278179662984
1497,KK,3IYHVdQLSObr82kIonsTXP,Inte Inthinte,0.866,0.847,2,-8.537,1,0.0782,0.182,0.000481,0.0654,0.774,124.001,76,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8848203583098767
1460,KK,6CadIYSvmjGwOSdokUcCVm,Avunu Nijam,0.845,0.721,2,-6.817,1,0.0599,0.0319,0.00103,0.301,0.583,115.013,76,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8846288481540576
1020,Shekhar Ravjiani,1bIcKBql2FriNbkbdzD5Zl,Lover Also Fighter Also,0.589,0.646,2,-6.661,1,0.0886,0.0724,0.00591,0.208,0.599,196.139,74,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8840326177843327
1377,Sonu Nigam,5C92bOqYQfIIA8waKq5zNM,Priyathama,0.708,0.621,7,-5.941,1,0.104,0.0259,0.0,0.441,0.485,89.985,76,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8840217908062525
1843,Lucky Ali,3qm40Ulmi0pbVHjLjNTWRP,Sarigama,0.686,0.877,2,-7.164,1,0.186,0.0223,2.46e-06,0.0932,0.528,110.011,59,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8837020086721177
1069,Benny Dayal,2e5p2PBEGi7Cy0GBvlWDXj,Barbi Bommaki,0.87,0.848,7,-6.541,1,0.159,0.0196,4.65e-06,0.276,0.643,104.946,70,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8836680539860361
1471,Neeraj Shridhar,3kGxymtZiuS5ToZGugRDy7,Om Namasthey,0.916,0.584,2,-8.952,1,0.0472,0.343,2.15e-05,0.0743,0.872,137.013,69,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8836647155840659
1859,Kunal Ganjawala,6lFWSakrMDZj9bRusX4e2S,Naaku Neeku,0.823,0.856,9,-5.925,1,0.0684,0.0382,0.000135,0.025,0.703,121.04,59,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8835280724029583
1844,Kunal Ganjawala,4xbEigICYznGKQhhq6hzBo,Hat Hatja,0.809,0.802,2,-7.238,1,0.143,0.02,0.00274,0.147,0.157,101.002,59,"['desi pop', 'filmi', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8821324665908031
738,Vishal Mishra,2qArFmnl9MeUaPAzg5sKwr,Sajna Ve,0.593,0.378,11,-8.706,1,0.0376,0.642,0.0,0.134,0.389,83.992,70,"['desi pop', 'modern bollywood']",0,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8765436223650733
629,Armaan Malik,0ojpEubhy4JNeVftmVuiN7,Pehla Pyaar,0.607,0.713,4,-5.105,1,0.03,0.56,4.98e-05,0.101,0.611,124.868,75,"['desi pop', 'filmi', 'modern bollywood']",76,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8728545651700956
342,KK,7txLCGOXyDlDXTjtR1Sk4v,Tu Jo Mila,0.576,0.591,0,-7.725,1,0.0332,0.795,6.85e-05,0.266,0.478,124.013,76,"['desi pop', 'filmi', 'modern bollywood']",65,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8711046418611522
666,Shankar-Ehsaan-Loy,4BTPzhEsyW3blWcxcuhLM0,Mitwa,0.63,0.63,4,-7.525,1,0.0364,0.295,1.26e-05,0.0934,0.517,107.103,70,"['desi pop', 'filmi', 'modern bollywood']",67,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral,0.8701126973474503
